,,,,,,,Event Attributes,,,,,,,,,,,,,,,,,,,,,
Event Id,Release version,Priority,Dev done,QA verified,Tags,Environment,User Action,Page Name,Page Description,Page Id,Event Name,Event Linking Keys,pdata.id,pdata.ver,pdata.pid,edata.type,edata.subtype,edata.id,edata.pageid,env,edata.extra.values,context.cdata,"object.id
(Required)","object.type
(Required)",object.ver,Comments / Points to keep in note,Event logs example,QA Verification Events
CP-EPUB1,,,,,Epub,,When open epub content,content player,"Used to play content in this page and user can do some actions like share , download and etc",,START,,staging.sunbird.portal,4.8.5,sunbird-portal,content,,,,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",,,,This event is used to analyse player loading time,"{""eid"":""START"",""ets"":1649318545112,""ver"":""3.0"",""mid"":""START:d733c45b87270477b1beb612dc7bda4c"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""content"",""mode"":""play"",""pageid"":"""",""duration"":5.35}}",
CP-EPUB2,,,,,,,When open epub content,,,,IMPRESSION,,staging.sunbird.portal,4.8.5,sunbird-portal,workflow,,,1,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is will be used to get info about which page is loaded,"{""eid"":""IMPRESSION"",""ets"":1649318548459,""ver"":""3.0"",""mid"":""IMPRESSION:7577b6daac83b863ad6140ed4db6bc57"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""workflow"",""subtype"":"""",""pageid"":""1"",""uri"":""""}}",
CP-EPUB3,,,,,,,When closes  epub content play,,,,END,,staging.sunbird.portal,4.8.5,sunbird-portal,content,,,sunbird-player-Endpage,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used analyse how much tie cuntennt playes and content consumption details,"{""eid"":""END"",""ets"":1649319483888,""ver"":""3.0"",""mid"":""END:4cfb695cda332b5edee6a9d240ddc878"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""content"",""mode"":""play"",""pageid"":""sunbird-player-Endpage"",""summary"":[{""progress"":100},{""totallength"":21},{""visitedlength"":21},{""visitedcontentend"":true},{""totalseekedlength"":0},{""endpageseen"":true}],""duration"":939.81}}",
CP-EPUB4,,,,,,,When clicked on replay icon,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,replay,21,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649320110775,""ver"":""3.0"",""mid"":""INTERACT:76b465cc753387934bfd7032082240d6"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""ChrI789hrOXvzCMn44U5nEQZn31Epg7o"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""replay"",""pageid"":""21""}}",
CP-EPUB5,,,,,,,When clicked on pagination,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,pagechange,3,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649320122498,""ver"":""3.0"",""mid"":""INTERACT:c69eb8ae5fd2627f231bda76c84f2140"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""pagechange"",""pageid"":""3""}}",
CP-EPUB6,,,,,,,When clicked on pagination,,,,IMPRESSION,,staging.sunbird.portal,4.8.5,sunbird-portal,workflow,,,3,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""IMPRESSION"",""ets"":1649320122499,""ver"":""3.0"",""mid"":""IMPRESSION:ffe3a6f635a13f6810cd3c9979ca5529"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""workflow"",""subtype"":"""",""pageid"":""3"",""uri"":""""}}",
CP-EPUB7,,,,,,,When clicked on open menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,open_menu,3,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649322126882,""ver"":""3.0"",""mid"":""INTERACT:ec8b2de514634afcd3f6a115be053e8d"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""open_menu"",""pageid"":""3""}}",
CP-EPUB8,,,,,,,When clicked on close menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,close_menu,3,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649322129598,""ver"":""3.0"",""mid"":""INTERACT:a6633a2180b2ab366a9ebf222fe3feae"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""close_menu"",""pageid"":""3""}}",
CP-EPUB9,,,,,,,When clicked on share content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,share,7,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649322324696,""ver"":""3.0"",""mid"":""INTERACT:6ced40e0b7559a72d0155843284031c3"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""share"",""pageid"":""7""}}",
CP-EPUB10,,,,,,,When clicked on download in side menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,download_menu,9,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649322997051,""ver"":""3.0"",""mid"":""INTERACT:01c64a3c887154aa23c121c411888477"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download_menu"",""pageid"":""9""}}",
CP-EPUB11,,,,,,,When clicked on download in pop up,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,download,9,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649323000334,""ver"":""3.0"",""mid"":""INTERACT:86bf37671d666da6a8987534b8ae5c63"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download"",""pageid"":""9""}}",
CP-EPUB12,,,,,,,When navigate from 1 page to different page using navigate,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,navigate_to_page,1,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""aLBWLrjxEpjBf8ztwtYlrKnF2rO32PNB"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21341647662186496011199,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649331727245,""ver"":""3.0"",""mid"":""INTERACT:0e739f2c88ac25f5eff28c75ed05e3df"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""aLBWLrjxEpjBf8ztwtYlrKnF2rO32PNB"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_21341647662186496011199"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""navigate_to_page"",""pageid"":""1""}}",
